fid,id,left,top,right,bottom,row_index,col_index,area_km2,fid_count,area_m2_sum,density,area_m2_mean,area_m2_max,area_m2_stddev,UMAP1,UMAP2,Cluster
99,513,740540.6993,2583188.0052,741540.6993,2582188.0052,2,17,0.147,3.0,117.417,0.001,39.139,52.102,13.495149,6.319569,16.479925,4
100,514,740540.6993,2582188.0052,741540.6993,2581188.0052,3,17,0.956,26.0,2103.276,0.002,80.895231,270.587,75.597065,6.6769924,15.102466,4
101,515,740540.6993,2581188.0052,741540.6993,2580188.0052,4,17,0.999,32.0,29284.93,0.029,915.154063,5963.507,1524.361463,8.674165,5.95019,5
102,516,740540.6993,2580188.0052,741540.6993,2579188.0052,5,17,0.999,601.0,169161.797,0.169,281.467216,5963.507,545.432362,11.039413,6.4086065,5
103,517,740540.6993,2579188.0052,741540.6993,2578188.0052,6,17,0.999,330.0,83096.268,0.083,251.806873,4164.605,481.285496,9.670465,8.631818,5
104,518,740540.6993,2578188.0052,741540.6993,2577188.0052,7,17,0.999,250.0,71310.395,0.071,285.24158,3107.998,413.166318,9.270069,8.705428,5
105,519,740540.6993,2577188.0052,741540.6993,2576188.0052,8,17,0.999,591.0,234353.242,0.235,396.536788,3486.837,476.182188,11.706572,6.4375143,5
106,520,740540.6993,2576188.0052,741540.6993,2575188.0052,9,17,0.999,186.0,76571.973,0.077,411.677274,2981.463,517.839966,8.474815,7.8532453,5
107,521,740540.6993,2575188.0052,741540.6993,2574188.0052,10,17,0.999,,,0.0,,,,-17.040033,-0.2498064,1
108,522,740540.6993,2574188.0052,741540.6993,2573188.0052,11,17,0.999,,,0.0,,,,-16.91473,-0.06480653,1
109,523,740540.6993,2573188.0052,741540.6993,2572188.0052,12,17,0.999,,,0.0,,,,-16.567064,0.17321104,1
110,524,740540.6993,2572188.0052,741540.6993,2571188.0052,13,17,0.999,5.0,180.595,0.0,36.119,82.05,23.908717,6.3024964,16.532053,4
111,525,740540.6993,2571188.0052,741540.6993,2570188.0052,14,17,0.999,1.0,44.412,0.0,44.412,44.412,0.0,6.279363,16.43796,4
112,526,740540.6993,2570188.0052,741540.6993,2569188.0052,15,17,0.999,254.0,27726.836,0.028,109.160772,762.042,105.4305,8.987459,11.984531,3
113,527,740540.6993,2569188.0052,741540.6993,2568188.0052,16,17,0.999,104.0,21034.525,0.021,202.255048,2414.785,356.234929,6.9922156,10.203543,0
114,528,740540.6993,2568188.0052,741540.6993,2567188.0052,17,17,0.999,402.0,81955.573,0.082,203.869585,2751.008,271.807333,10.041831,10.009855,3
115,529,740540.6993,2567188.0052,741540.6993,2566188.0052,18,17,0.369,321.0,53616.183,0.145,167.028607,753.349,122.762906,9.626738,11.141731,3
116,530,740540.6993,2566188.0052,741540.6993,2565188.0052,19,17,0.002,1.0,53.783,0.027,53.783,53.783,0.0,6.333095,16.160873,4
117,544,741540.6993,2582188.0052,742540.6993,2581188.0052,3,18,0.056,,,0.0,,,,-16.892916,0.010840528,1
118,545,741540.6993,2581188.0052,742540.6993,2580188.0052,4,18,0.384,28.0,32774.865,0.085,1170.530893,8396.409,2147.802286,8.732189,5.948673,5
119,546,741540.6993,2580188.0052,742540.6993,2579188.0052,5,18,0.84,46.0,45337.145,0.054,985.590109,8396.409,1640.838805,8.792429,5.860299,5
120,547,741540.6993,2579188.0052,742540.6993,2578188.0052,6,18,0.999,308.0,53678.09,0.054,174.279513,1188.35,207.000456,9.645819,11.065847,3
121,548,741540.6993,2578188.0052,742540.6993,2577188.0052,7,18,0.999,241.0,63640.975,0.064,264.070436,4588.88,358.255308,9.375806,8.528603,5
122,549,741540.6993,2577188.0052,742540.6993,2576188.0052,8,18,0.999,199.0,86906.193,0.087,436.714538,2566.113,492.621943,8.513452,7.8563685,5
123,550,741540.6993,2576188.0052,742540.6993,2575188.0052,9,18,0.999,661.0,202058.054,0.202,305.685407,4111.395,386.37234,11.923665,6.6659327,5
124,551,741540.6993,2575188.0052,742540.6993,2574188.0052,10,18,0.999,450.0,83926.057,0.084,186.502349,5015.096,380.950431,9.9754715,9.707808,3
125,552,741540.6993,2574188.0052,742540.6993,2573188.0052,11,18,0.999,468.0,60380.18,0.06,129.017479,1402.265,133.201977,9.932882,11.637373,3
126,553,741540.6993,2573188.0052,742540.6993,2572188.0052,12,18,0.999,3.0,68.63,0.0,22.876667,25.249,3.184011,6.2362733,16.63225,4
127,554,741540.6993,2572188.0052,742540.6993,2571188.0052,13,18,0.999,16.0,1388.351,0.001,86.771938,385.18,88.067206,6.669215,15.003862,4
128,555,741540.6993,2571188.0052,742540.6993,2570188.0052,14,18,0.999,12.0,594.722,0.001,49.560167,155.294,38.955134,6.3781013,16.244875,4
129,556,741540.6993,2570188.0052,742540.6993,2569188.0052,15,18,0.999,37.0,3023.923,0.003,81.727649,359.019,69.514786,6.6842146,15.127942,4
130,557,741540.6993,2569188.0052,742540.6993,2568188.0052,16,18,0.999,682.0,88001.814,0.088,129.034918,1191.934,140.616496,11.017818,10.184568,3
131,558,741540.6993,2568188.0052,742540.6993,2567188.0052,17,18,0.999,414.0,60570.828,0.061,146.306348,1633.409,193.07659,9.754526,11.3824835,3
132,559,741540.6993,2567188.0052,742540.6993,2566188.0052,18,18,0.168,42.0,5220.343,0.031,124.293881,555.61,116.470245,7.3733115,13.7384205,4
133,563,741540.6993,2563188.0052,742540.6993,2562188.0052,22,18,0.059,,,0.0,,,,-16.794046,0.27444142,1
134,564,741540.6993,2562188.0052,742540.6993,2561188.0052,23,18,0.177,,,0.0,,,,-16.431734,0.16208984,1
135,565,741540.6993,2561188.0052,742540.6993,2560188.0052,24,18,0.163,,,0.0,,,,-16.967386,-0.08818966,1
136,575,742540.6993,2581188.0052,743540.6993,2580188.0052,4,19,0.002,,,0.0,,,,-17.040173,0.03382505,1
137,576,742540.6993,2580188.0052,743540.6993,2579188.0052,5,19,0.69,135.0,74323.345,0.108,550.543296,2784.054,531.499067,8.279765,7.2102175,5
138,577,742540.6993,2579188.0052,743540.6993,2578188.0052,6,19,0.999,492.0,123681.342,0.124,251.384841,6022.136,424.299999,10.784575,6.728339,5
139,578,742540.6993,2578188.0052,743540.6993,2577188.0052,7,19,0.999,336.0,68919.246,0.069,205.116804,1742.861,225.211728,9.71498,10.516303,3
