id,left,top,right,bottom,row_index,col_index,area_km2,fid_count,fid_sum,id_count,area_m2_co,area_m2_su,DN_count,DN_sum,DN_mean,obf_pct,obf_n,bld_n,wsf_n,UMI,UMI_w
368,735540.699300000094809,2578188.005200000014156,736540.699300000094809,2577188.005200000014156,7,12,0.999,263,23675063.000000,263,263,49613.448000,111,20400.000000,183.783784,4.966,0.093,0.149,0.739,0.327,0.245
369,735540.699300000094809,2577188.005200000014156,736540.699300000094809,2576188.005200000014156,8,12,0.999,113,10033327.000000,113,113,13584.340000,39,5610.000000,143.846154,1.360,0.026,0.064,0.579,0.223,0.152
370,735540.699300000094809,2576188.005200000014156,736540.699300000094809,2575188.005200000014156,9,12,0.999,78,7679448.000000,78,78,30857.372000,17,3315.000000,195.000000,3.089,0.058,0.044,0.784,0.295,0.198
371,735540.699300000094809,2575188.005200000014156,736540.699300000094809,2574188.005200000014156,10,12,0.999,156,14062482.000000,156,156,52259.552000,40,5100.000000,127.500000,5.231,0.098,0.088,0.513,0.233,0.177
372,735540.699300000094809,2574188.005200000014156,736540.699300000094809,2573188.005200000014156,11,12,0.999,,,,,,1,0.000000,0.000000,0.000,0.000,,0.000,,
373,735540.699300000094809,2573188.005200000014156,736540.699300000094809,2572188.005200000014156,12,12,0.166,,,,,,1,0.000000,0.000000,0.000,0.000,,0.000,,
374,735540.699300000094809,2572188.005200000014156,736540.699300000094809,2571188.005200000014156,13,12,0.009,,,,,,1,0.000000,0.000000,0.000,0.000,,0.000,,
375,735540.699300000094809,2571188.005200000014156,736540.699300000094809,2570188.005200000014156,14,12,0.037,,,,,,1,0.000000,0.000000,0.000,0.000,,0.000,,
396,736540.699300000094809,2580188.005200000014156,737540.699300000094809,2579188.005200000014156,5,13,0.201,17,1745293.000000,17,17,2224.783000,13,3060.000000,235.384615,1.107,0.021,0.010,0.947,0.326,0.202
397,736540.699300000094809,2579188.005200000014156,737540.699300000094809,2578188.005200000014156,6,13,0.617,76,7426714.000000,76,76,16745.981000,33,7905.000000,239.545455,2.714,0.051,0.043,0.963,0.352,0.230
398,736540.699300000094809,2578188.005200000014156,737540.699300000094809,2577188.005200000014156,7,13,0.984,274,25497228.000000,274,274,69237.724000,129,21930.000000,170.000000,7.036,0.132,0.155,0.684,0.324,0.252
399,736540.699300000094809,2577188.005200000014156,737540.699300000094809,2576188.005200000014156,8,13,0.999,310,29224258.000000,310,310,50109.403000,103,15300.000000,148.543689,5.016,0.094,0.175,0.597,0.289,0.227
400,736540.699300000094809,2576188.005200000014156,737540.699300000094809,2575188.005200000014156,9,13,0.999,326,30597860.000000,326,326,60183.879000,98,18105.000000,184.744898,6.024,0.113,0.184,0.743,0.347,0.267
401,736540.699300000094809,2575188.005200000014156,737540.699300000094809,2574188.005200000014156,10,13,0.999,156,14049727.000000,156,156,33280.696000,55,8925.000000,162.272727,3.331,0.063,0.088,0.653,0.268,0.191
402,736540.699300000094809,2574188.005200000014156,737540.699300000094809,2573188.005200000014156,11,13,0.987,,,,,,1,0.000000,0.000000,0.000,0.000,,0.000,,
403,736540.699300000094809,2573188.005200000014156,737540.699300000094809,2572188.005200000014156,12,13,0.552,,,,,,1,0.000000,0.000000,0.000,0.000,,0.000,,
404,736540.699300000094809,2572188.005200000014156,737540.699300000094809,2571188.005200000014156,13,13,0.893,116,10749177.000000,116,116,13241.945000,24,2295.000000,95.625000,1.483,0.028,0.065,0.385,0.159,0.114
405,736540.699300000094809,2571188.005200000014156,737540.699300000094809,2570188.005200000014156,14,13,0.483,66,6127077.000000,66,66,6619.218000,15,2805.000000,187.000000,1.370,0.026,0.037,0.752,0.272,0.176
425,737540.699300000094809,2581188.005200000014156,738540.699300000094809,2580188.005200000014156,4,14,0.061,4,381641.000000,4,4,1545.884000,3,510.000000,170.000000,2.534,0.048,0.002,0.684,0.245,0.157
426,737540.699300000094809,2580188.005200000014156,738540.699300000094809,2579188.005200000014156,5,14,0.249,36,3101822.000000,36,36,8314.898000,17,4080.000000,240.000000,3.339,0.063,0.020,0.965,0.349,0.226
428,737540.699300000094809,2578188.005200000014156,738540.699300000094809,2577188.005200000014156,7,14,0.647,56,4912121.000000,56,56,15591.344000,29,4590.000000,158.275862,2.410,0.045,0.032,0.637,0.238,0.158
429,737540.699300000094809,2577188.005200000014156,738540.699300000094809,2576188.005200000014156,8,14,0.999,334,31486812.000000,334,334,90981.493000,134,25245.000000,188.395522,9.107,0.171,0.189,0.758,0.373,0.296
430,737540.699300000094809,2576188.005200000014156,738540.699300000094809,2575188.005200000014156,9,14,0.999,470,41346488.000000,470,470,95266.143000,150,18870.000000,125.800000,9.536,0.179,0.265,0.506,0.317,0.279
431,737540.699300000094809,2575188.005200000014156,738540.699300000094809,2574188.005200000014156,10,14,0.999,16,1406618.000000,16,16,2504.407000,5,1020.000000,204.000000,0.251,0.005,0.009,0.821,0.278,0.170
432,737540.699300000094809,2574188.005200000014156,738540.699300000094809,2573188.005200000014156,11,14,0.999,,,,,,1,0.000000,0.000000,0.000,0.000,,0.000,,
